OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,SHAPE_LENG,Shape__Area,Shape__Length
1,157,MWI,Malawi,1953,Balaka, , ,MW.BA, ,District,District,~1958,Present, ,2.03587865,0.179253271916764,2.03587865490163
2,157,MWI,Malawi,1954,Blantyre, , ,MW.BL, ,District,District,1982,Present, ,2.20696861,0.170831288864917,2.20696860774975
3,157,MWI,Malawi,1955,Chikwawa, , ,MW.CK, ,District,District,Unknown,Present, ,3.53287263,0.426041060437058,3.53287263084776
4,157,MWI,Malawi,1956,Chiradzulu, , ,MW.CR, ,District,District,Unknown,Present, ,1.52737727,0.0640716878509693,1.52737726833043
5,157,MWI,Malawi,1957,Chitipa, , ,MW.CT, ,District,District,1958,Present, ,4.86425037,0.336726935753831,4.86425037179533
6,157,MWI,Malawi,1958,Dedza, , ,MW.DE, ,District,District,Unknown,Present, ,4.68715863,0.428391484436958,4.68715863371708
7,157,MWI,Malawi,1959,Dowa, , ,MW.DO, ,District,District,1958,Present, ,3.35709228,0.255845275821628,3.35709228116603
8,157,MWI,Malawi,1960,Karonga, , ,MW.KR, ,District,District,1958,Present, ,4.29703221,0.721657686042448,4.29703221225944
9,157,MWI,Malawi,1961,Kasungu, , ,MW.KS, ,District,District,Unknown,Present, ,4.85572753,0.668778387571365,4.85572752580606
10,157,MWI,Malawi,1962,Lilongwe, , ,MW.LI, ,District,District,1958,Present, ,4.51320545,0.523125623894487,4.51320545096901
11,157,MWI,Malawi,1963,Machinga,Kasupe|Kasupi|Liwonde, ,MW.MA, ,District,District,Unknown,1998, ,2.90294252,0.325814748357004,2.90294251599588
12,157,MWI,Malawi,1964,Mangochi,Mangoche|Fort Johnston, ,MW.MG, ,District,District,1958,Present, ,4.08573081,0.758757221750471,4.08573081377557
13,157,MWI,Malawi,1965,Mchinji,Fort Manning, ,MW.MC, ,District,District,~1958,Present, ,3.31749276,0.262520999842565,3.31749276091773
14,157,MWI,Malawi,1966,Mulanje,Mlange|Mlanje, ,MW.MJ, ,District,District,1958,1998, ,2.60818283,0.168504908705017,2.60818283041458
15,157,MWI,Malawi,1967,Mwanza, , ,MW.MW, ,District,District,1982,Present, ,2.65438245,0.181673535083178,2.65438244872828
16,157,MWI,Malawi,1968,Mzimba, , ,MW.MZ, ,District,District,1958,Present, ,7.02448211,0.858802270681934,7.02448210764507
17,157,MWI,Malawi,1969,Nkhata Bay,Chinteche, ,MW.NA, ,District,District,Unknown,Present, ,5.14464494,0.945722493453104,5.14464494197036
18,157,MWI,Malawi,1970,Nkhotakota,Kota Kota, ,MW.NK, ,District,District,1958,Present, ,4.99024894,0.653804691978877,4.99024894272458
19,157,MWI,Malawi,1971,Nsanje,Port Herald, ,MW.NS, ,District,District,Unknown,Present, ,2.79227133,0.163418419998209,2.79227132757864
20,157,MWI,Malawi,1972,Ntcheu,Ncheu, ,MW.NU, ,District,District,Unknown,Present, ,3.14164969,0.272788092342495,3.14164968692632
21,157,MWI,Malawi,1973,Ntchisi,Nchisi, ,MW.NI, ,District,District,1958,Present, ,2.08452934,0.143495391512062,2.08452934351642
22,157,MWI,Malawi,1974,Phalombe, , ,MW.PH, ,District,District,~1998,Present, ,1.78615486,0.121811135418568,1.78615486090068
23,157,MWI,Malawi,1975,Rumphi,Rumpi, ,MW.RU, ,District,District,1958,Present, ,4.15278292,0.553088780966675,4.15278292051947
24,157,MWI,Malawi,1976,Salima, , ,MW.SA, ,District,District,1958,Present, ,2.52563649,0.260886963533352,2.52563648840389
25,157,MWI,Malawi,1977,Thyolo,Cholo, ,MW.TH, ,District,District,Unknown,Present, ,1.93825963,0.140727826216278,1.93825962811064
26,157,MWI,Malawi,1978,Zomba, , ,MW.ZO, ,District,District,1958,Present, ,2.80751637,0.259655652106915,2.80751637229275
